q_id_2021,q_text_2021,q_type_2021,q_id_2019,q_text_2019,q_type_2019,jaccardDist
4.6a-1-30,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-direct emissions (metric tonnes co2e)-total generation of grid-supplied energy",Question-Column-Row,4.6a-1-30,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-direct emissions / scope 1 (metric tonnes co2e)-total generation of grid-supplied energy",Question-Column-Row,0.032258064516129004
4.6a-1-6,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-direct emissions (metric tonnes co2e)-stationary energy > fugitive emissions",Question-Column-Row,4.6a-1-6,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-direct emissions / scope 1 (metric tonnes co2e)-stationary energy > fugitive emissions",Question-Column-Row,0.0326797385620915
4.6a-3-22,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes co2e)-afolu > livestock",Question-Column-Row,4.6a-3-22,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling / scope 2 (metric tonnes co2e)-afolu > livestock",Question-Column-Row,0.030303030303030276
4.6a-3-23,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes co2e)-afolu > land use",Question-Column-Row,4.6a-3-23,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling / scope 2 (metric tonnes co2e)-afolu > land use",Question-Column-Row,0.03105590062111796
4.6a-3-26,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes co2e)-generation of grid-supplied energy > electricity-only generation",Question-Column-Row,4.6a-3-26,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling / scope 2 (metric tonnes co2e)-generation of grid-supplied energy > electricity-only generation",Question-Column-Row,0.030864197530864224
4.6a-3-5,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes co2e)-stationary energy > agriculture",Question-Column-Row,4.6a-3-5,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling / scope 2 (metric tonnes co2e)-stationary energy > agriculture",Question-Column-Row,0.029940119760479056
4.6a-4-26,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-if you have no indirect emissions to report, please select a notation key to explain why-generation of grid-supplied energy > electricity-only generation",Question-Column-Row,4.6a-4-26,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-if you have no indirect emissions to report, please select a notation key to explain why-generation of grid-supplied energy > electricity-only generation",Question-Column-Row,0
4.6a-4-26,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-if you have no indirect emissions to report, please select a notation key to explain why-generation of grid-supplied energy > electricity-only generation",Question-Column-Row,4.6a-2-26,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-if you have no direct emissions to report, please select a notation key to explain why-generation of grid-supplied energy > electricity-only generation",Question-Column-Row,0
4.6a-4-29,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-if you have no indirect emissions to report, please select a notation key to explain why-generation of grid-supplied energy > local renewable generation",Question-Column-Row,4.6a-2-29,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-if you have no direct emissions to report, please select a notation key to explain why-generation of grid-supplied energy > local renewable generation",Question-Column-Row,0
4.6a-4-29,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-if you have no indirect emissions to report, please select a notation key to explain why-generation of grid-supplied energy > local renewable generation",Question-Column-Row,4.6a-4-29,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-if you have no indirect emissions to report, please select a notation key to explain why-generation of grid-supplied energy > local renewable generation",Question-Column-Row,0
4.6a-4-31,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-if you have no indirect emissions to report, please select a notation key to explain why-total emissions (excluding generation of grid-supplied energy)",Question-Column-Row,4.6a-4-31,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-if you have no indirect emissions to report, please select a notation key to explain why-total emissions (excluding generation of grid-supplied energy)",Question-Column-Row,0
4.6a-4-31,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-if you have no indirect emissions to report, please select a notation key to explain why-total emissions (excluding generation of grid-supplied energy)",Question-Column-Row,4.6a-2-31,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-if you have no direct emissions to report, please select a notation key to explain why-total emissions (excluding generation of grid-supplied energy)",Question-Column-Row,0
4.6a-5-14,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-emissions occurring outside the city boundary as a result of in-city activities (metric tonnes co2e)-waste > solid waste disposal",Question-Column-Row,4.6a-5-14,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-emissions occurring outside the city boundary as a result of in-city activities / scope 3 (metric tonnes co2e)-waste > solid waste disposal",Question-Column-Row,0.030487804878048808
4.6a-5-23,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-emissions occurring outside the city boundary as a result of in-city activities (metric tonnes co2e)-afolu > land use",Question-Column-Row,4.6a-5-23,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-emissions occurring outside the city boundary as a result of in-city activities / scope 3 (metric tonnes co2e)-afolu > land use",Question-Column-Row,0.030674846625766916
4.6a-5-25,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-emissions occurring outside the city boundary as a result of in-city activities (metric tonnes co2e)-total afolu",Question-Column-Row,4.6a-5-25,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-emissions occurring outside the city boundary as a result of in-city activities / scope 3 (metric tonnes co2e)-total afolu",Question-Column-Row,0.03105590062111796
4.6a-5-29,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-emissions occurring outside the city boundary as a result of in-city activities (metric tonnes co2e)-generation of grid-supplied energy > local renewable generation",Question-Column-Row,4.6a-5-29,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-emissions occurring outside the city boundary as a result of in-city activities / scope 3 (metric tonnes co2e)-generation of grid-supplied energy > local renewable generation",Question-Column-Row,0.0292397660818714
4.6a-5-3,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-emissions occurring outside the city boundary as a result of in-city activities (metric tonnes co2e)-stationary energy > institutional buildings & facilities",Question-Column-Row,4.6a-5-3,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-emissions occurring outside the city boundary as a result of in-city activities / scope 3 (metric tonnes co2e)-stationary energy > institutional buildings & facilities",Question-Column-Row,0.029761904761904767
4.6a-5-30,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-emissions occurring outside the city boundary as a result of in-city activities (metric tonnes co2e)-total generation of grid-supplied energy",Question-Column-Row,4.6a-5-30,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-emissions occurring outside the city boundary as a result of in-city activities / scope 3 (metric tonnes co2e)-total generation of grid-supplied energy",Question-Column-Row,0.029761904761904767
4.6a-7-10,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-please explain any excluded sources, identify any emissions covered under an ets and provide any other comments-transportation > waterborne navigation",Question-Column-Row,4.6a-7-10,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-please explain any excluded sources, identify any emissions covered under an ets and provide any other comments-transportation > waterborne navigation",Question-Column-Row,0
4.6a-7-26,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-please explain any excluded sources, identify any emissions covered under an ets and provide any other comments-generation of grid-supplied energy > electricity-only generation",Question-Column-Row,4.6a-7-26,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-please explain any excluded sources, identify any emissions covered under an ets and provide any other comments-generation of grid-supplied energy > electricity-only generation",Question-Column-Row,0
4.6a-7-3,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-please explain any excluded sources, identify any emissions covered under an ets and provide any other comments-stationary energy > institutional buildings & facilities",Question-Column-Row,4.6a-7-3,"the global covenant of mayors requires committed cities to report their inventories in the format of the new common reporting framework, to encourage standard reporting of emissions data. please provide a breakdown of your city-wide emissions by sector and sub-sector in the table below. where emissions data is not available, please use the relevant notation keys to explain the reason why.-please explain any excluded sources, identify any emissions covered under an ets and provide any other comments-stationary energy > institutional buildings & facilities",Question-Column-Row,0
4.6b-1-16,please provide a summary of emissions by sector and scope as defined in the global protocol for community greenhouse gas emissions inventories (gpc) in the table below.-emissions (metric tonnes co2e)-total basic emissions,Question-Column-Row,4.6b-1-16,please provide a summary of emissions by sector and scope as defined in the global protocol for community greenhouse gas emissions inventories (gpc) in the table below.-emissions (metric tonnes co2e)-total basic emissions,Question-Column-Row,0
4.6b-1-16,please provide a summary of emissions by sector and scope as defined in the global protocol for community greenhouse gas emissions inventories (gpc) in the table below.-emissions (metric tonnes co2e)-total basic emissions,Question-Column-Row,4.6b-1-17,please provide a summary of emissions by sector and scope as defined in the global protocol for community greenhouse gas emissions inventories (gpc) in the table below.-emissions (metric tonnes co2e)-total basic+ emissions,Question-Column-Row,0
4.6b-1-8,please provide a summary of emissions by sector and scope as defined in the global protocol for community greenhouse gas emissions inventories (gpc) in the table below.-emissions (metric tonnes co2e)-waste: waste generated within the city boundary – scope 1 (iii.x.1),Question-Column-Row,4.6b-1-8,please provide a summary of emissions by sector and scope as defined in the global protocol for community greenhouse gas emissions inventories (gpc) in the table below.-emissions (metric tonnes co2e)-waste: waste generated within the city boundary – scope 1 (iii.x.1),Question-Column-Row,0
4.6f-4,"where it will facilitate a greater understanding of your city-wide emissions, please provide a breakdown of these emissions by end user (buildings, water, waste, transport), economic sector (residential, commercial, industrial, institutional), or any other classification system used in your city.-emissions (metric tonnes co2e)",Question-Column,4.6f-4,"where it will facilitate a greater understanding of your city-wide emissions, please provide a breakdown of these emissions by end user (buildings, water, waste, transport), economic sector (residential, commercial, industrial, institutional), or any other classification system used in your city.-emissions (metric tonnes co2e)",Question-Column,0
5.0a-6,"please provide details of your total city-wide base year emissions reduction (absolute) target(s). in addition, you may add rows to provide details of your sector-specific targets, by providing the base year emissions specific to that target.-year target was set",Question-Column,5.0a-1,"please provide details of your total city-wide base year emissions reduction (absolute) target. in addition, you may add rows to provide details of your sector-specific targets, by providing the base year emissions specific to that target.-sector",Question-Column,0.013157894736842146
5.0a-6,"please provide details of your total city-wide base year emissions reduction (absolute) target(s). in addition, you may add rows to provide details of your sector-specific targets, by providing the base year emissions specific to that target.-year target was set",Question-Column,5.0a-4,"please provide details of your total city-wide base year emissions reduction (absolute) target. in addition, you may add rows to provide details of your sector-specific targets, by providing the base year emissions specific to that target.-base year",Question-Column,0.013157894736842146
5.0a-6,"please provide details of your total city-wide base year emissions reduction (absolute) target(s). in addition, you may add rows to provide details of your sector-specific targets, by providing the base year emissions specific to that target.-year target was set",Question-Column,5.0a-8,"please provide details of your total city-wide base year emissions reduction (absolute) target. in addition, you may add rows to provide details of your sector-specific targets, by providing the base year emissions specific to that target.-target year",Question-Column,0.013157894736842146
5.0b-11,please provide details of your total fixed level target(s).-is this target considered to be your cities most ambitious target?,Question-Column,5.0b-5,please provide details of your total fixed level target.-target year,Question-Column,0.32692307692307687
5.0b-13,please provide details of your total fixed level target(s).-select the initiatives that this target contributes towards,Question-Column,5.0b-1,please provide details of your total fixed level target.-sector,Question-Column,0.35593220338983056
5.0c-11,"please provide details of your total city-wide base year intensity target. an intensity target is usually measured per capita or per unit gdp. if you have an absolute emissions reduction target, please select “base year emissions (absolute) target” in question 5.0.-target year",Question-Column,5.0c-10,"please provide details of your total city-wide base year intensity target. an intensity target is usually measured per capita or per unit gdp. if you have an absolute emissions reduction target, please select “base year emissions (absolute) target” in question 5.0.-target year",Question-Column,0
5.0e-1-1,please explain why you do not have a city-wide emissions reduction target and any plans to set one in the future.-reason-please explain,Question-Column-Row,5.0e-1-1,please explain why you do not have a city-wide emissions reduction target and any plans to set one in the future.-reason-please explain,Question-Column-Row,0
5.2a-0,please identify and describe the conditional components of your city-wide emissions reduction target(s).-none,Question-Column,5.2a-0,please identify and describe the conditional components of your city-wide emissions reduction target(s).-none,Question-Column,0
5.3a-3,please provide details on the use of transferable emissions.-what percentage of the target does this unit represent?,Question-Column,5.3a-3,please provide details on the use of transferable emissions.-what percentage of the target does this unit represent?,Question-Column,0
