Questionnaire,q_id,q_id_orig,count
CDP Cities 2018,2.0b-6,2.0b-6,366
CDP Cities 2018,11.0-0,12.0-0,70
CDP Cities 2018,14.2a-2,15.3a-2,642
CDP Cities 2018,10.3-4-2,11.4-4-2,468
CDP Cities 2018,7.3-1-1,6.3-1-1,236
CDP Cities 2018,7.0-0,6.0-0,488
CDP Cities 2018,8.1-8-1,9.0-8-1,468
CDP Cities 2018,8.1-5-1,9.0-5-1,468
CDP Cities 2018,4.6b-1-2,7.3a-1-2,184
CDP Cities 2018,2.1-8,2.2a-7,2000
CDP Cities 2018,10.3-5-1,11.4-5-1,468
CDP Cities 2018,7.2-0,6.2-0,236
CDP Cities 2018,6.2a-3,5.1a-2,545
CDP Cities 2018,5.0c-11,8.3b-7,24
CDP Cities 2018,13.3-1-5,14.0-1-5,70
CDP Cities 2018,8.0a-6,9.2a-5,189
CDP Cities 2018,10.3-5-2,11.4-5-2,468
CDP Cities 2018,10.3-5-4,11.4-5-4,468
CDP Cities 2018,14.3-4,15.4-3,708
CDP Cities 2018,6.2a-1,5.1a-1,545
CDP Cities 2018,7.6-2-1,6.7-2-1,236
CDP Cities 2018,5.0d-10,8.3c-7,46
CDP Cities 2018,3.2a-5,3.1a-2,341
CDP Cities 2018,10.3-2-4,11.4-2-4,468
CDP Cities 2018,3.3-3,3.4-2,474
CDP Cities 2018,3.2-0,3.1-0,488
CDP Cities 2018,5.0d-9,8.3c-6,46
CDP Cities 2018,5.4-7,8.1-3,1336
CDP Cities 2018,5.0a-9,8.3a-6,325
CDP Cities 2018,3.0-4,3.3-3,1520
CDP Cities 2018,7.7a-2,6.8a-2,197
CDP Cities 2018,10.3-1-2,11.4-1-2,468
CDP Cities 2018,3.3-1,3.4-1,474
CDP Cities 2018,10.1-3-1,11.0-3-1,468
CDP Cities 2018,5.0c-13,8.3b-8,24
CDP Cities 2018,0.5-3-1,0.6-4-1,468
CDP Cities 2018,10.3-3-5,11.4-3-5,468
CDP Cities 2018,10.3-4-4,11.4-4-4,468
CDP Cities 2018,6.0-1,5.0a-1,1420
CDP Cities 2018,2.0b-4,2.0b-4,366
CDP Cities 2018,5.0d-8,8.3c-5,46
CDP Cities 2018,14.1-0,15.1-0,70
CDP Cities 2018,9.1-3-1,10.0-2-1,70
CDP Cities 2018,2.1-6,2.2a-9,4880
CDP Cities 2018,3.0-2,3.3-2,1520
CDP Cities 2018,10.1-7-1,11.0-7-1,468
CDP Cities 2018,4.6b-1-9,7.3a-1-9,184
CDP Cities 2018,9.1-3-3,10.0-2-3,70
CDP Cities 2018,4.6b-1-16,7.3a-1-16,184
CDP Cities 2018,6.2-0,5.1-0,468
CDP Cities 2018,10.3-2-5,11.4-2-5,468
CDP Cities 2018,8.1-2-1,9.0-2-1,468
CDP Cities 2018,2.1-5,2.2a-10,2000
CDP Cities 2018,5.0a-6,8.3a-2,325
CDP Cities 2018,5.0d-7,8.3c-4,46
CDP Cities 2018,7.7-0,6.8-0,236
CDP Cities 2018,14.2a-1,15.3a-1,642
CDP Cities 2018,5.0a-7,8.3a-4,325
CDP Cities 2018,9.1-3-2,10.0-2-2,70
CDP Cities 2018,9.1-1-3,10.0-1-3,70
CDP Cities 2018,5.0a-5,8.3a-3,325
CDP Cities 2018,8.0a-7,9.2a-6,189
CDP Cities 2018,2.1-4,2.2a-6,2000
CDP Cities 2018,13.3-1-2,14.0-1-2,70
CDP Cities 2018,4.6b-1-10,7.3a-1-10,184
CDP Cities 2018,8.1-1-1,9.0-1-1,468
CDP Cities 2018,4.6b-1-17,7.3a-1-17,184
CDP Cities 2018,8.1-4-1,9.0-4-1,468
CDP Cities 2018,4.6b-1-12,7.3a-1-12,184
CDP Cities 2018,6.5-4,5.2-3,1081
CDP Cities 2018,2.2-2,2.4-2,1298
CDP Cities 2018,4.6b-1-3,7.3a-1-3,184
CDP Cities 2018,10.1-5-1,11.0-5-1,468
CDP Cities 2018,4.6b-1-4,7.3a-1-4,184
CDP Cities 2018,2.2-4,2.4-3,1298
CDP Cities 2018,10.1-2-1,11.0-2-1,468
CDP Cities 2018,6.13-1-1,5.10-0,70
CDP Cities 2018,13.3-1-1,14.0-1-1,70
CDP Cities 2018,2.0-0,2.0-0,488
CDP Cities 2018,0.6-1-1,0.8-2-1,468
CDP Cities 2018,14.3-1,15.4-1,671
CDP Cities 2018,10.3-4-1,11.4-4-1,468
CDP Cities 2018,3.3-4,3.4-3,474
CDP Cities 2018,8.1-9-1,9.0-9-1,468
CDP Cities 2018,5.0c-1,8.3b-1,24
CDP Cities 2018,5.0d-11,8.3c-8,46
CDP Cities 2018,4.6c-1-1,7.4b-1-1,61
CDP Cities 2018,7.6-3-1,6.7-3-1,236
CDP Cities 2018,5.0a-8,8.3a-5,325
CDP Cities 2018,5.0a-11,8.3a-7,325
CDP Cities 2018,10.3-3-4,11.4-3-4,468
CDP Cities 2018,8.1-11-1,9.0-10-1,468
CDP Cities 2018,6.5-3,5.2-2,1080
CDP Cities 2018,9.1-1-2,10.0-1-2,70
CDP Cities 2018,14.2a-3,15.3a-3,642
CDP Cities 2018,4.0-0,7.0-0,488
CDP Cities 2018,10.3-3-2,11.4-3-2,468
CDP Cities 2018,8.0-0,9.2-0,488
CDP Cities 2018,4.6b-1-6,7.3a-1-6,184
CDP Cities 2018,5.0c-8,8.3b-5,24
CDP Cities 2018,10.3-2-2,11.4-2-2,468
CDP Cities 2018,13.3-1-6,14.0-1-6,70
CDP Cities 2018,2.2-1,2.4-1,1298
CDP Cities 2018,4.6b-1-15,7.3a-1-15,184
CDP Cities 2018,14.2a-5,15.3a-4,642
CDP Cities 2018,10.1-1-1,11.0-1-1,468
CDP Cities 2018,5.0d-6,8.3c-2,46
CDP Cities 2018,4.6b-1-11,7.3a-1-11,184
CDP Cities 2018,5.0c-10,8.3b-6,24
CDP Cities 2018,10.1-6-1,11.0-6-1,468
CDP Cities 2018,10.3-5-5,11.4-5-5,468
CDP Cities 2018,4.6a-1-17,7.6-1-10,6
CDP Cities 2018,4.6a-1-9,7.6-1-7,1
CDP Cities 2018,4.6a-1-26,7.6-1-13,1
CDP Cities 2018,4.6a-3-1,7.6-2-1,6
CDP Cities 2018,4.6a-3-17,7.6-2-10,1
CDP Cities 2018,4.6a-3-9,7.6-2-7,3
CDP Cities 2018,4.6a-1-8,7.6-1-6,2
CDP Cities 2018,4.6a-3-2,7.6-2-2,6
CDP Cities 2018,4.6a-1-1,7.6-1-1,11
CDP Cities 2018,4.6a-1-14,7.6-1-9,8
CDP Cities 2018,4.6a-1-13,7.6-1-8,18
CDP Cities 2018,4.6a-3-3,7.6-2-3,1
CDP Cities 2018,4.6a-1-30,7.6-1-15,7
CDP Cities 2018,4.6a-1-5,7.6-1-5,5
CDP Cities 2018,4.6a-3-8,7.6-2-6,1
CDP Cities 2018,4.6a-3-4,7.6-2-4,4
CDP Cities 2018,4.6a-1-19,7.6-1-11,2
CDP Cities 2018,4.6a-3-19,7.6-2-11,1
CDP Cities 2018,4.6a-3-26,7.6-2-13,3
CDP Cities 2018,4.6a-1-4,7.6-1-4,10
CDP Cities 2018,4.6a-1-2,7.6-1-2,11
CDP Cities 2018,4.6a-1-3,7.6-1-3,3
CDP Cities 2018,4.6a-1-28,7.6-1-14,3
CDP Cities 2018,4.6a-3-28,7.6-2-14,2
CDP Cities 2018,4.6a-3-13,7.6-2-8,1
Cities 2019,10.3-1-3,10.5-1-3,814
Cities 2019,4.6a-4-22,4.6a-4-22,300
Cities 2019,5.4-7,5.4-5,3768
Cities 2019,4.6a-5-18,4.6a-5-18,300
Cities 2019,4.6a-2-27,4.6a-2-27,300
Cities 2019,3.0-2,3.0-2,3149
Cities 2019,4.6b-1-17,4.6b-1-17,146
Cities 2019,7.3-1-1,7.3-1-1,474
Cities 2019,5.0c-6,5.0c-5,55
Cities 2019,5.0a-1,5.0a-1,533
Cities 2019,4.6a-6-25,4.6a-6-25,300
Cities 2019,10.3-2-2,10.5-2-2,814
Cities 2019,0.5-3-1,0.5-3-1,814
Cities 2019,4.6a-7-31,4.6a-7-31,300
Cities 2019,4.6a-4-26,4.6a-4-26,300
Cities 2019,5.0a-5,5.0a-4,533
Cities 2019,4.6a-6-28,4.6a-6-28,300
Cities 2019,10.1-4-1,10.1-4-1,317
Cities 2019,5.0b-8,5.0b-6,79
Cities 2019,8.0a-3,8.0a-2,381
Cities 2019,4.6a-5-8,4.6a-5-8,300
Cities 2019,2.1-9,2.1-7,3736
Cities 2019,4.6a-4-2,4.6a-4-2,300
Cities 2019,10.3-5-2,10.5-5-2,814
Cities 2019,4.6a-6-19,4.6a-6-19,300
Cities 2019,4.6a-3-20,4.6a-3-20,300
Cities 2019,4.6b-1-4,4.6b-1-4,146
Cities 2019,0.1-1-1,0.1-1-1,814
Cities 2019,4.6a-4-25,4.6a-4-25,300
Cities 2019,4.6a-4-10,4.6a-4-10,300
Cities 2019,4.6b-1-5,4.6b-1-5,146
Cities 2019,5.0c-11,5.0c-10,55
Cities 2019,4.6a-2-20,4.6a-2-20,300
Cities 2019,13.3-1-4,13.3-1-4,82
Cities 2019,6.2-0,6.1-0,814
Cities 2019,4.6a-6-6,4.6a-6-6,300
Cities 2019,4.6a-3-18,4.6a-3-18,300
Cities 2019,4.6a-3-26,4.6a-3-26,300
Cities 2019,2.1-3,2.1-3,3736
Cities 2019,4.6a-2-12,4.6a-2-12,300
Cities 2019,4.4-0,4.4-0,1810
Cities 2019,9.1-1-1,9.1-1-1,82
Cities 2019,4.6a-2-11,4.6a-2-11,300
Cities 2019,4.6a-2-17,4.6a-2-17,300
Cities 2019,4.6a-7-27,4.6a-7-27,300
Cities 2019,5.0d-8,5.0d-7,127
Cities 2019,4.6a-4-12,4.6a-4-12,300
Cities 2019,4.6a-4-30,4.6a-4-30,300
Cities 2019,14.0-0,14.0-0,1373
Cities 2019,4.6a-7-16,4.6a-7-16,300
Cities 2019,4.6a-2-25,4.6a-2-25,300
Cities 2019,4.6a-4-8,4.6a-4-8,300
Cities 2019,4.6a-2-16,4.6a-2-16,300
Cities 2019,10.3-3-5,10.5-3-5,814
Cities 2019,4.6a-1-16,4.6a-1-16,300
Cities 2019,5.0c-5,5.0c-4,55
Cities 2019,10.3-3-4,10.5-3-4,814
Cities 2019,4.6a-3-14,4.6a-3-14,300
Cities 2019,4.6a-3-11,4.6a-3-11,300
Cities 2019,4.6a-2-18,4.6a-2-18,300
Cities 2019,4.6a-6-27,4.6a-6-27,300
Cities 2019,0.5-2-1,0.5-2-1,814
Cities 2019,4.6a-7-7,4.6a-7-7,300
Cities 2019,5.0c-12,5.0c-11,55
Cities 2019,4.6a-7-30,4.6a-7-30,300
Cities 2019,7.2-0,7.2-0,474
Cities 2019,9.1-3-3,9.1-2-3,82
Cities 2019,4.6a-7-18,4.6a-7-18,300
Cities 2019,5.0b-9,5.0b-7,79
Cities 2019,4.6a-2-15,4.6a-2-15,300
Cities 2019,4.6a-6-17,4.6a-6-17,300
Cities 2019,4.6a-6-2,4.6a-6-2,300
Cities 2019,4.6b-1-13,4.6b-1-13,146
Cities 2019,4.6b-1-11,4.6b-1-11,146
Cities 2019,10.3-3-3,10.5-3-3,814
Cities 2019,14.3-4,14.4-4,1247
Cities 2019,4.6a-5-4,4.6a-5-4,300
Cities 2019,5.0c-8,5.0c-7,55
Cities 2019,4.6b-1-9,4.6b-1-9,146
Cities 2019,4.6a-1-28,4.6a-1-28,300
Cities 2019,4.6d-1,4.6d-1,16
Cities 2019,4.6a-4-1,4.6a-4-1,300
Cities 2019,4.6a-5-3,4.6a-5-3,300
Cities 2019,4.6a-5-14,4.6a-5-14,300
Cities 2019,8.0a-6,8.0a-5,381
Cities 2019,10.1-7-1,10.1-7-1,317
Cities 2019,5.0d-1,5.0d-1,127
Cities 2019,4.6a-1-25,4.6a-1-25,300
Cities 2019,4.6d-1,4.6e-1,41
Cities 2019,5.0b-7,5.0b-5,79
Cities 2019,10.1-9-1,10.1-8-1,317
Cities 2019,6.5-3,6.2-3,1646
Cities 2019,4.6a-3-23,4.6a-3-23,300
Cities 2019,7.6-4-1,7.6-4-1,396
Cities 2019,11.0-0,11.0-0,82
Cities 2019,4.6a-4-11,4.6a-4-11,300
Cities 2019,5.0c-3,5.0c-3,55
Cities 2019,4.6a-2-30,4.6a-2-30,300
Cities 2019,14.2a-3,14.3a-3,1199
Cities 2019,7.6-2-1,7.6-2-1,396
Cities 2019,6.0-2,6.0-2,2436
Cities 2019,2.1-7,2.1-10,10309
Cities 2019,2.2-2,2.2-2,2860
Cities 2019,4.6a-4-9,4.6a-4-9,300
Cities 2019,4.6d-2,4.6f-2,49
Cities 2019,4.6a-1-26,4.6a-1-26,300
Cities 2019,8.2-1-3,8.5-1-4,318
Cities 2019,4.6a-1-8,4.6a-1-8,300
Cities 2019,10.3-1-5,10.5-1-5,814
Cities 2019,4.6a-3-10,4.6a-3-10,300
Cities 2019,4.6a-1-14,4.6a-1-14,300
Cities 2019,4.6b-1-8,4.6b-1-8,146
Cities 2019,3.3-3,3.2-2,1769
Cities 2019,4.6a-4-15,4.6a-4-15,300
Cities 2019,4.6a-2-9,4.6a-2-9,300
Cities 2019,4.6a-2-13,4.6a-2-13,300
Cities 2019,8.1-6-1,8.2-6-1,318
Cities 2019,8.0a-4,8.0a-3,381
Cities 2019,5.0a-7,5.0a-6,533
Cities 2019,5.0a-8,5.0a-7,533
Cities 2019,4.6a-3-1,4.6a-3-1,300
Cities 2019,14.3-2,14.4-2,1247
Cities 2019,14.1-0,14.2-0,814
Cities 2019,5.0b-5,5.0b-4,79
Cities 2019,10.3-5-3,10.5-5-3,814
Cities 2019,4.6a-7-6,4.6a-7-6,300
Cities 2019,13.3-1-5,13.3-1-5,82
Cities 2019,5.0b-1,5.0b-1,79
Cities 2019,4.6a-7-10,4.6a-7-10,300
Cities 2019,4.6a-1-17,4.6a-1-17,300
Cities 2019,4.6b-1-1,4.6b-1-1,146
Cities 2019,4.6a-5-28,4.6a-5-28,300
Cities 2019,4.6a-5-7,4.6a-5-7,300
Cities 2019,4.6b-1-2,4.6b-1-2,146
Cities 2019,4.6b-1-14,4.6b-1-14,146
Cities 2019,4.6a-6-12,4.6a-6-12,300
Cities 2019,13.2-0,13.2-0,82
Cities 2019,4.6a-3-22,4.6a-3-22,300
Cities 2019,4.6a-7-13,4.6a-7-13,300
Cities 2019,5.0a-9,5.0a-8,533
Cities 2019,4.6a-1-2,4.6a-1-2,300
Cities 2019,10.3-4-2,10.5-4-2,814
Cities 2019,4.6a-1-19,4.6a-1-19,300
Cities 2019,9.1-1-2,9.1-1-2,82
Cities 2019,10.3-5-5,10.5-5-5,814
Cities 2019,4.6c-3-1,4.6c-3-1,32
Cities 2019,3.2a-9,3.1a-7,643
Cities 2019,4.6a-1-15,4.6a-1-15,300
Cities 2019,4.6a-1-31,4.6a-1-31,300
Cities 2019,8.1-9-1,8.2-9-1,318
Cities 2019,6.0-1,6.0-1,2436
Cities 2019,8.1-8-1,8.2-8-1,318
Cities 2019,3.2a-1,3.1a-1,643
Cities 2019,3.2a-3,3.1a-2,3074
Cities 2019,4.6a-3-31,4.6a-3-31,300
Cities 2019,14.3-1,14.4-1,1224
Cities 2019,4.6a-7-3,4.6a-7-3,300
Cities 2019,2.0b-4,2.0b-4,797
Cities 2019,4.0-0,4.0-0,814
Cities 2019,4.6a-3-19,4.6a-3-19,300
Cities 2019,14.2a-5,14.3a-4,1199
Cities 2019,4.6a-6-20,4.6a-6-20,300
Cities 2019,4.6a-7-4,4.6a-7-4,300
Cities 2019,4.6a-2-31,4.6a-2-31,300
Cities 2019,4.6a-6-30,4.6a-6-30,300
Cities 2019,4.6b-1-3,4.6b-1-3,146
Cities 2019,2.1-5,2.1-5,9249
Cities 2019,4.6a-1-7,4.6a-1-7,300
Cities 2019,4.6a-5-15,4.6a-5-15,300
Cities 2019,4.6a-6-3,4.6a-6-3,300
Cities 2019,4.6a-1-20,4.6a-1-20,300
Cities 2019,4.6a-7-29,4.6a-7-29,300
Cities 2019,4.6a-6-7,4.6a-6-7,300
Cities 2019,2.0b-2,2.0b-3,797
Cities 2019,4.6a-1-23,4.6a-1-23,300
Cities 2019,2.2-4,2.2-3,2860
Cities 2019,4.6a-6-5,4.6a-6-5,300
Cities 2019,5.0d-3,5.0d-3,127
Cities 2019,6.5-4,6.2-4,1646
Cities 2019,4.6a-3-25,4.6a-3-25,300
Cities 2019,10.3-1-2,10.5-1-2,814
Cities 2019,8.0-0,8.0-0,814
Cities 2019,4.6a-1-6,4.6a-1-6,300
Cities 2019,8.0a-7,8.0a-6,381
Cities 2019,4.6a-1-1,4.6a-1-1,300
Cities 2019,4.6c-8-1,4.6c-8-1,32
Cities 2019,4.6a-5-17,4.6a-5-17,300
Cities 2019,7.7a-2,7.7a-2,290
Cities 2019,4.6a-1-9,4.6a-1-9,300
Cities 2019,6.13-1-1,6.11-0,82
Cities 2019,2.1-6,2.1-9,14048
Cities 2019,4.6a-4-6,4.6a-4-6,300
Cities 2019,10.3-3-1,10.5-3-1,814
Cities 2019,3.3-1,3.2-1,1769
Cities 2019,0.4-0,0.4-0,814
Cities 2019,4.6a-1-4,4.6a-1-4,300
Cities 2019,4.6a-6-16,4.6a-6-16,300
Cities 2019,5.0a-6,5.0a-5,533
Cities 2019,5.0d-9,5.0d-8,127
Cities 2019,6.5-7,6.2-5,1646
Cities 2019,4.6a-3-3,4.6a-3-3,300
Cities 2019,4.9-1-1,4.9-1-1,524
Cities 2019,4.6a-3-29,4.6a-3-29,300
Cities 2019,4.6a-3-9,4.6a-3-9,300
Cities 2019,4.6a-1-12,4.6a-1-12,300
Cities 2019,5.0a-3,5.0a-3,533
Cities 2019,4.6a-3-6,4.6a-3-6,300
Cities 2019,4.6a-2-3,4.6a-2-3,300
Cities 2019,4.6a-6-14,4.6a-6-14,300
Cities 2019,4.6a-2-19,4.6a-2-19,300
Cities 2019,4.6a-2-6,4.6a-2-6,300
Cities 2019,6.5-9,6.2-7,1646
Cities 2019,3.3-4,3.2-3,1769
Cities 2019,4.6b-1-12,4.6b-1-12,146
Cities 2019,2.0b-6,2.0b-7,797
Cities 2019,4.6a-7-28,4.6a-7-28,300
Cities 2019,4.6a-3-17,4.6a-3-17,300
Cities 2019,5.0b-3,5.0b-3,79
Cities 2019,4.6a-2-22,4.6a-2-22,300
Cities 2019,4.6a-6-13,4.6a-6-13,300
Cities 2019,10.1-2-1,10.1-2-1,317
Cities 2019,9.1-1-4,9.1-1-4,82
Cities 2019,4.6a-7-1,4.6a-7-1,300
Cities 2019,8.1-7-1,8.2-7-1,318
Cities 2019,8.1-2-1,8.2-2-1,318
Cities 2019,4.6a-7-25,4.6a-7-25,300
Cities 2019,2.0b-7,2.0b-8,797
Cities 2019,5.0c-9,5.0c-8,55
Cities 2019,4.6a-7-26,4.6a-7-26,300
Cities 2019,4.6d-2,4.6e-2,41
Cities 2019,4.6a-1-18,4.6a-1-18,300
Cities 2019,4.6a-5-19,4.6a-5-19,300
Cities 2019,4.6a-5-25,4.6a-5-25,300
Cities 2019,4.6a-7-15,4.6a-7-15,300
Cities 2019,4.6b-1-10,4.6b-1-10,146
Cities 2019,2.1-1,2.1-1,3736
Cities 2019,4.6a-5-13,4.6a-5-13,300
Cities 2019,10.3-5-1,10.5-5-1,814
Cities 2019,8.1-5-1,8.2-5-1,318
Cities 2019,4.6a-6-11,4.6a-6-11,300
Cities 2019,10.3-4-3,10.5-4-3,814
Cities 2019,4.6a-5-26,4.6a-5-26,300
Cities 2019,4.6a-5-10,4.6a-5-10,300
Cities 2019,4.6a-3-16,4.6a-3-16,300
Cities 2019,4.6a-6-26,4.6a-6-26,300
Cities 2019,4.6a-2-28,4.6a-2-28,300
Cities 2019,9.1-3-1,9.1-2-1,82
Cities 2019,2.2-1,2.2-1,2860
Cities 2019,4.6a-3-13,4.6a-3-13,300
Cities 2019,4.6d-4,4.6e-4,41
Cities 2019,4.6a-5-31,4.6a-5-31,300
Cities 2019,4.6b-1-7,4.6b-1-7,146
Cities 2019,4.6a-6-15,4.6a-6-15,300
Cities 2019,10.1-6-1,10.1-6-1,317
Cities 2019,10.3-2-4,10.5-2-4,814
Cities 2019,7.4-0,7.4-0,1216
Cities 2019,4.6a-1-13,4.6a-1-13,300
Cities 2019,4.6b-1-15,4.6b-1-15,146
Cities 2019,4.6a-6-31,4.6a-6-31,300
Cities 2019,4.6a-7-19,4.6a-7-19,300
Cities 2019,4.6a-7-2,4.6a-7-2,300
Cities 2019,3.0-8,3.0-6,3149
Cities 2019,5.4-8,5.4-6,3768
Cities 2019,10.3-1-1,10.5-1-1,814
Cities 2019,4.6a-4-20,4.6a-4-20,300
Cities 2019,4.6a-1-30,4.6a-1-30,300
Cities 2019,9.1-1-3,9.1-1-3,82
Cities 2019,2.1-4,2.1-4,3736
Cities 2019,4.6a-4-5,4.6a-4-5,300
Cities 2019,10.3-1-4,10.5-1-4,814
Cities 2019,4.6a-6-8,4.6a-6-8,300
Cities 2019,4.6a-4-3,4.6a-4-3,300
Cities 2019,10.3-2-5,10.5-2-5,814
Cities 2019,5.0d-7,5.0d-6,127
Cities 2019,4.6a-1-10,4.6a-1-10,300
Cities 2019,4.6a-6-23,4.6a-6-23,300
Cities 2019,4.6a-2-5,4.6a-2-5,300
Cities 2019,5.0a-11,5.0a-10,533
Cities 2019,8.1-3-1,8.2-3-1,318
Cities 2019,4.6a-4-19,4.6a-4-19,300
Cities 2019,10.1-3-1,10.1-3-1,317
Cities 2019,7.7-0,7.7-0,396
Cities 2019,8.1-4-1,8.2-4-1,318
Cities 2019,4.6a-4-17,4.6a-4-17,300
Cities 2019,4.6a-6-22,4.6a-6-22,300
Cities 2019,5.0d-10,5.0d-9,127
Cities 2019,4.6a-7-23,4.6a-7-23,300
Cities 2019,4.6c-1-1,4.6c-1-1,32
Cities 2019,4.6a-3-28,4.6a-3-28,300
Cities 2019,10.1-5-1,10.1-5-1,317
Cities 2019,4.6a-7-9,4.6a-7-9,300
Cities 2019,4.6a-1-22,4.6a-1-22,300
Cities 2019,2.0-0,2.0-0,814
Cities 2019,4.6a-7-12,4.6a-7-12,300
Cities 2019,4.6a-1-27,4.6a-1-27,300
Cities 2019,6.2a-3,6.1a-2,1001
Cities 2019,4.6d-4,4.6f-4,49
Cities 2019,8.0a-9,8.0a-8,381
Cities 2019,4.6a-2-29,4.6a-2-29,300
Cities 2019,4.6a-5-16,4.6a-5-16,300
Cities 2019,4.6a-1-5,4.6a-1-5,300
Cities 2019,4.6a-2-2,4.6a-2-2,300
Cities 2019,4.6a-5-6,4.6a-5-6,300
Cities 2019,4.6a-7-20,4.6a-7-20,300
Cities 2019,4.6a-3-8,4.6a-3-8,300
Cities 2019,4.6a-6-10,4.6a-6-10,300
Cities 2019,5.0d-11,5.0d-10,127
Cities 2019,4.6a-6-18,4.6a-6-18,300
Cities 2019,5.0d-5,5.0d-4,127
Cities 2019,6.2a-1,6.1a-1,1001
Cities 2019,4.6a-2-8,4.6a-2-8,300
Cities 2019,4.6a-3-15,4.6a-3-15,300
Cities 2019,5.0c-13,5.0c-12,55
Cities 2019,4.6a-2-4,4.6a-2-4,300
Cities 2019,4.6a-6-4,4.6a-6-4,300
Cities 2019,4.6a-4-16,4.6a-4-16,300
Cities 2019,3.0-1,3.0-1,3103
Cities 2019,4.6d-3,4.6d-3,16
Cities 2019,14.2a-2,14.3a-2,1199
Cities 2019,3.2-0,3.1-0,814
Cities 2019,10.3-4-5,10.5-4-5,814
Cities 2019,4.6a-3-27,4.6a-3-27,300
Cities 2019,4.6d-3,4.6f-3,49
Cities 2019,4.6a-3-2,4.6a-3-2,300
Cities 2019,4.6b-1-6,4.6b-1-6,146
Cities 2019,4.6a-2-23,4.6a-2-23,300
Cities 2019,4.6a-2-14,4.6a-2-14,300
Cities 2019,10.3-2-3,10.5-2-3,814
Cities 2019,4.6a-5-11,4.6a-5-11,300
Cities 2019,4.6a-2-10,4.6a-2-10,300
Cities 2019,3.2a-5,3.1a-3,643
Cities 2019,13.3-1-2,13.3-1-2,82
Cities 2019,4.6a-5-20,4.6a-5-20,300
Cities 2019,4.6a-7-17,4.6a-7-17,300
Cities 2019,4.6a-6-9,4.6a-6-9,300
Cities 2019,4.6a-4-27,4.6a-4-27,300
Cities 2019,4.6a-4-7,4.6a-4-7,300
Cities 2019,5.0-0,5.0-0,878
Cities 2019,5.0c-7,5.0c-6,55
Cities 2019,4.6a-1-11,4.6a-1-11,300
