Account Number,Organization,City,Country,CDP Region,0
18078,Swale Borough Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,2
1850,Birmingham City Council,Birmingham,United Kingdom of Great Britain and Northern Ireland,Europe,3
19233,Municipality of Torres Vedras,Torres Vedras,Portugal,Europe,1
19233,Município de Torres Vedras,Torres Vedras,Portugal,Europe,4
20113,City of Vancouver,Vancouver,Canada,North America,3
20113,"City of Vancouver, BC",Vancouver,Canada,Canada,1
20113,"City of Vancouver, BC",Vancouver,Canada,nan,1
2028,City of Bonn,Bonn,Germany,Europe,1
2185,Bristol City Council,Bristol,United Kingdom of Great Britain and Northern Ireland,Europe,4
2282,British Columbia,nan,Canada,Canada,1
2430,City of Burlington,Burlington,United States of America,North America,3
2430,"City of Burlington, VT",Burlington,United States of America,United States of America,1
2621,Cambridgeshire County Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,2
31009,City of Copenhagen,Copenhagen,Denmark,Europe,3
31009,Copenhagen Municipality,Copenhagen,Denmark,Europe,1
31009,København Kommune,Copenhagen,Denmark,Europe,1
31051,Coventry City Council,Coventry,United Kingdom of Great Britain and Northern Ireland,Europe,5
31052,City of Cardiff,Cardiff,United Kingdom of Great Britain and Northern Ireland,Europe,5
31053,Wigan Council,Wigan,United Kingdom of Great Britain and Northern Ireland,Europe,1
31054,Belfast City Council,Belfast,United Kingdom of Great Britain and Northern Ireland,Europe,2
31055,Glasgow City Council,Glasgow,United Kingdom of Great Britain and Northern Ireland,Europe,4
31056,Edinburgh City Council,Edinburgh,United Kingdom of Great Britain and Northern Ireland,Europe,3
31090,District of Columbia,"Washington, DC",United States of America,North America,3
31090,"District of Columbia, DC","Washington, DC",United States of America,United States of America,2
31108,City of Houston,Houston,United States of America,North America,3
31108,"City of Houston, TX",Houston,United States of America,United States of America,2
31109,City of Melbourne,City of Melbourne,Australia,Oceania,2
31109,City of Melbourne,City of Melbourne,Australia,Southeast Asia and Oceania,3
31110,City of Rome,Roma,Italy,Europe,1
31110,Comune di Roma Capitale,Roma,Italy,Europe,1
31110,Roma Capitale,Roma,Italy,Europe,3
31111,Tokyo Metropolitan Government,Tokyo,Japan,East Asia,5
31112,Kaohsiung City Government,Kaohsiung,"Taiwan, China",East Asia,1
31112,Kaohsiung City Government,Kaohsiung,"Taiwan, Greater China",East Asia,4
31113,City of Yokohama,Yokohama,Japan,East Asia,5
31114,City of Sydney,City of Sydney,Australia,Oceania,2
31114,City of Sydney,City of Sydney,Australia,Southeast Asia and Oceania,3
31115,City of Johannesburg,Johannesburg,South Africa,Africa,5
31117,City of Toronto,Toronto,Canada,North America,3
31117,"City of Toronto, ON",Toronto,Canada,Canada,1
31117,"City of Toronto, ON",Toronto,Canada,nan,1
31146,Addis Ababa City Administration,Addis Ababa,Ethiopia,Africa,5
31148,City of Amsterdam,Amsterdam,Netherlands,Europe,3
31148,Gemeente Amsterdam,Amsterdam,Netherlands,Europe,1
31148,Municipality of Amsterdam,Amsterdam,Netherlands,Europe,1
31149,City of Athens,Athens,Greece,Europe,3
31149,Dímos Athinaíon,Athens,Greece,Europe,1
31149,Municipality of Athens,Athens,Greece,Europe,1
31150,Bangkok Metropolitan Administration,Bangkok,Thailand,Southeast Asia,2
31150,Bangkok Metropolitan Administration,Bangkok,Thailand,Southeast Asia and Oceania,3
31151,City of Basel-Stadt,Basel,Switzerland,Europe,3
31151,Stadt Basel,Basel,Switzerland,Europe,1
31153,Bundeshauptstadt Berlin,Berlin,Germany,Europe,1
31153,City of Berlin,Berlin,Germany,Europe,4
31154,Bogotá Distrito Capital,Bogotá,Colombia,Latin America,5
31155,City of Buenos Aires,Buenos Aires,Argentina,Latin America,5
31156,Municipality of Curitiba,Curitiba,Brazil,Latin America,5
31157,City of Delhi,Delhi,India,South Asia,2
31157,City of Delhi,Delhi,India,South and West Asia,3
31158,Hanoi City,Hanoi,Viet Nam,Southeast Asia,2
31158,Hanoi City,Hanoi,Viet Nam,Southeast Asia and Oceania,3
31163,Istanbul Metropolitan Municipality,Istanbul,Turkey,Europe,5
31164,Ho Chi Minh City,Ho Chi Minh,Viet Nam,Southeast Asia,2
31164,Ho Chi Minh City,Ho Chi Minh,Viet Nam,Southeast Asia and Oceania,3
31165,City of Heidelberg,Heidelberg,Germany,Europe,1
31165,Stadt Heidelberg,Heidelberg,Germany,Europe,4
31166,Jakarta City Government,Jakarta,Indonesia,Southeast Asia,2
31166,Jakarta City Government,Jakarta,Indonesia,Southeast Asia and Oceania,3
31167,City of Lagos,Lagos,Nigeria,Africa,5
31168,City District Government Karachi,Karachi,Pakistan,South Asia,2
31168,City District Government Karachi,Karachi,Pakistan,South and West Asia,3
31169,Government of Hong Kong Special Administrative Region,Hong Kong,"China, Hong Kong Special Administrative Region",East Asia,5
31170,Metropolitan Municipality of Lima,Lima,Peru,Latin America,5
31171,Ayuntamiento de Madrid,Madrid,Spain,Europe,4
31171,City of Madrid,Madrid,Spain,Europe,1
31172,Mexico City,Mexico City,Mexico,Latin America,5
31173,City of Milan,Milano,Italy,Europe,1
31173,Comune di Milano,Milano,Italy,Europe,4
31174,Moscow Government,Moscow,Russian Federation,Europe,4
31175,City of Paris,Paris,France,Europe,4
31175,Ville de Paris,Paris,France,Europe,1
31176,Prefeitura do Rio de Janeiro,Rio de Janeiro,Brazil,Latin America,5
31177,Salt Lake City,Salt Lake City,United States of America,North America,3
31177,"Salt Lake City, UT",Salt Lake City,United States of America,United States of America,2
31178,City of Mumbai,Mumbai,India,South Asia,2
31179,Gemeente Rotterdam,Rotterdam,Netherlands,Europe,4
31179,Municipality of Rotterdam,Rotterdam,Netherlands,Europe,1
31180,Región Metropolitana de Santiago,Santiago,Chile,Latin America,5
31181,City of Philadelphia,Philadelphia,United States of America,North America,3
31181,"City of Philadelphia, PA",Philadelphia,United States of America,United States of America,2
31182,City of San Francisco,San Francisco,United States of America,North America,3
31182,"City of San Francisco, CA",San Francisco,United States of America,United States of America,2
31184,Prefeitura de São Paulo,São Paulo,Brazil,Latin America,5
31185,City of Warsaw,Warsaw,Poland,Europe,4
31185,Miasto Stołeczne Warszawa,Warsaw,Poland,Europe,1
31186,Changwon City,Changwon,Republic of Korea,East Asia,4
31187,Seoul Metropolitan Government,Seoul,Republic of Korea,East Asia,5
31221,State of Virginia,nan,United States of America,United States of America,1
31446,Taipei City Government,Taipei,"Taiwan, China",East Asia,1
31446,Taipei City Government,Taipei,"Taiwan, Greater China",East Asia,4
3203,City of Chicago,Chicago,United States of America,North America,3
3203,"City of Chicago, IL",Chicago,United States of America,United States of America,2
32480,City of Adelaide,Adelaide,Australia,Oceania,2
32480,City of Adelaide,Adelaide,Australia,Southeast Asia and Oceania,3
32550,City of Denver,Denver,United States of America,North America,3
32550,"City of Denver, CO",Denver,United States of America,United States of America,2
3417,New York City,New York City,United States of America,North America,3
3417,"New York City, NY",New York City,United States of America,United States of America,2
3422,Greater London Authority,London,United Kingdom of Great Britain and Northern Ireland,Europe,5
3429,City of Stockholm,Stockholm,Sweden,Europe,4
3429,Stockholms stad,Stockholm,Sweden,Europe,1
35268,City of Boston,Boston,United States of America,North America,3
35268,"City of Boston, MA",Boston,United States of America,United States of America,2
35272,City of New Haven (CT),New Haven ,United States of America,North America,1
35274,"City of Portland, ME",Portland,United States of America,North America,1
35274,"City of Portland, ME",Portland,United States of America,United States of America,2
35274,"City of Portland, ME","Portland, ME",United States of America,North America,2
35393,City of St Louis,St Louis,United States of America,North America,3
35393,"City of St Louis, MO",St Louis,United States of America,United States of America,1
35449,City of Zürich,Zürich,Switzerland,Europe,1
35449,Stadt Zürich,Zürich,Switzerland,Europe,4
35475,City of Calgary,Calgary,Canada,North America,3
35475,"City of Calgary, AB",Calgary,Canada,Canada,1
35475,"City of Calgary, AB",Calgary,Canada,nan,1
35755,Village of Kadiovacik,Urla,Turkey,Europe,5
35848,Municipality of Belo Horizonte,Belo Horizonte,Brazil,Latin America,5
35853,City of Baltimore,Baltimore,United States of America,North America,3
35853,"City of Baltimore, MD",Baltimore,United States of America,United States of America,2
35854,City of Brussels,Brussels,Belgium,Europe,3
35856,Busan Metropolitan City,Busan-si,Republic of Korea,East Asia,2
35857,City of Cincinnati,Cincinnati,United States of America,North America,3
35857,"City of Cincinnati, OH",Cincinnati,United States of America,United States of America,2
35858,City of Cape Town,Cape Town,South Africa,Africa,5
35859,City of Cleveland,Cleveland,United States of America,North America,3
35859,"City of Cleveland, OH",Cleveland,United States of America,United States of America,2
35860,City of Dallas,Dallas,United States of America,North America,3
35860,"City of Dallas, TX",Dallas,United States of America,United States of America,1
35860,"City of Dallas, TX",Dallas,nan,United States of America,1
35862,City of Detroit,Detroit,United States of America,North America,3
35862,"City of Detroit, MI",Detroit,United States of America,United States of America,1
35863,eThekwini Municipality,Durban,South Africa,Africa,5
35864,Ekurhuleni Metropolitan Municipality,Ekurhuleni,South Africa,Africa,5
35865,Municipality of Fortaleza,Fortaleza,Brazil,Latin America,5
35867,Region Metropolitana de Guadalajara,Guadalajara,Mexico,Latin America,5
35868,Free and Hanseatic City of Hamburg,Hamburg,Germany,Europe,1
35870,City of Miami,Miami,United States of America,North America,2
35870,"City of Miami, FL",Miami,United States of America,United States of America,2
35871,City of Monterrey,Monterrey,Mexico,Latin America,2
35872,Municipality of Recife,Recife,Brazil,Latin America,5
35873,Medellín,Medellín,Colombia,Latin America,2
35873,Municipality of Medellín,Medellín,Colombia,Latin America,3
35874,City of Phoenix,Phoenix,United States of America,North America,3
35874,"City of Phoenix, AZ",Phoenix,United States of America,United States of America,2
35877,City of Pittsburgh,Pittsburgh,United States of America,North America,3
35877,"City of Pittsburgh, PA",Pittsburgh,United States of America,United States of America,2
35878,City of Sacramento,Sacramento,United States of America,North America,3
35878,"City of Sacramento, CA",Sacramento,United States of America,United States of America,2
35879,City of Minneapolis,Minneapolis,United States of America,North America,3
35879,"City of Minneapolis, MN",Minneapolis,United States of America,United States of America,2
35880,Municipality of Porto Alegre,Porto Alegre,Brazil,Latin America,5
35882,"City of Tampa, FL",Tampa,United States of America,United States of America,1
35883,City of San José,"San José, CA",United States of America,North America,3
35883,"City of San José, CA","San José, CA",United States of America,United States of America,2
35884,City of San Diego,San Diego,United States of America,North America,3
35884,"City of San Diego, CA",San Diego,United States of America,United States of America,2
35885,Tel Aviv-Yafo Municipality,Tel Aviv-Yafo,Israel,Middle East,5
35886,City of Turin,Torino,Italy,Europe,1
35886,Comune di Torino,Torino,Italy,Europe,4
35887,Ajuntament de Valencia,Valencia,Spain,Europe,2
35887,Ajuntament de València,Valencia,Spain,Europe,1
35893,City of Dar es Salaam,Dar es Salaam,United Republic of Tanzania,Africa,5
35894,Ville de Montreal,Montréal,Canada,North America,3
35894,"Ville de Montreal, QC",Montréal,Canada,Canada,1
35894,"Ville de Montreal, QC",Montréal,Canada,nan,1
35897,Municipality of Campinas,Campinas,Brazil,Latin America,5
35898,Greater Manchester,Manchester,United Kingdom of Great Britain and Northern Ireland,Europe,5
35902,City of Nagoya,Nagoya,Japan,East Asia,2
35903,Le Grand Casablanca,Casablanca,Morocco,Africa,4
35904,Kolkata Metropolitan Area,Kolkata,India,South Asia,2
35904,Kolkata Metropolitan Area,Kolkata,India,South and West Asia,3
35905,Corporation of Chennai,Chennai,India,South Asia,2
35905,Corporation of Chennai,Chennai,India,South and West Asia,3
35907,Bangalore,Bangalore,India,South and West Asia,3
35907,Bengaluru,Bangalore,India,South Asia,2
35910,Pune Municipal Corporation,Pune,India,South Asia,2
35910,Pune Municipal Corporation,Pune,India,South and West Asia,1
35912,Surat Municipal Corporation,Surat,India,South Asia,2
35913,City of Nairobi,Nairobi,Kenya,Africa,5
35914,Greater Hyderabad Municipal Corporation,Hyderabad,India,South Asia,1
35915,City of Jaipur,Jaipur,India,South and West Asia,2
35993,Singapore Government,Singapore,Singapore,Southeast Asia,2
35993,Singapore Government,Singapore,Singapore,Southeast Asia and Oceania,3
35995,City of Brasília,Brasília,Brazil,Latin America,1
35995,Distrito Federal (Brasília),Brasília,Brazil,Latin America,1
36002,Ville de Kinshasa,Ville de Kinshasa,Democratic Republic of the Congo,Africa,4
36004,City of Abidjan,Abidjan,Côte d'Ivoire,Africa,5
36032,Ville de Dakar,Dakar,Senegal,Africa,4
36036,City of Ibadan,Ibadan,Nigeria,Africa,5
36037,Santiago de Cali,Santiago de Cali,Colombia,Latin America,5
36039,Accra Metropolitan Assembly,Accra,Ghana,Africa,5
36041,Municipality of Belém,Belém,Brazil,Latin America,2
36041,Prefeitura de Belém,Belém,Brazil,Latin America,1
36042,Ville de Douala,Douala,Cameroon,Africa,1
36043,Abuja Federal Capital Territory,Abuja,Nigeria,Africa,5
36044,Seferihisar Municipality,Seferihisar,Turkey,Europe,2
36045,Santiago de Guayaquil,Santiago de Guayaquil,Ecuador,Latin America,4
36152,City of Tallinn,Tallinn,Estonia,Europe,1
36152,Tallinn City Council,Tallinn,Estonia,Europe,1
36152,Tallinna linn,Tallinn,Estonia,Europe,1
36154,Vilnius City Municipality,Vilnius,Lithuania,Europe,1
36158,City of Naples,Napoli,Italy,Europe,1
36158,Comune di Napoli,Napoli,Italy,Europe,4
36159,City of Lisbon,Lisbon,Portugal,Europe,4
36159,Município de Lisboa,Lisbon,Portugal,Europe,1
36218,Fukuoka City,Fukuoka,Japan,East Asia,1
36218,Fukuoka City Government,Fukuoka,Japan,East Asia,1
36223,Antananarivo,Antananarivo,Madagascar,Africa,5
36242,Comune di Aosta,Aosta,Italy,Europe,1
36247,City of Arezzo,Arezzo,Italy,Europe,1
36252,Comune di Oristano,Oristano,Italy,Europe,1
36254,City of Venice,Venezia,Italy,Europe,1
36254,Comune di Venezia,Venezia,Italy,Europe,4
36261,Comune di Bolzano,Bolzano,Italy,Europe,4
36262,City of Genoa,Genova,Italy,Europe,1
36262,Comune di Genova,Genova,Italy,Europe,4
36263,Comune di Ravenna,Ravenna,Italy,Europe,2
36265,Comune di Reggio Emilia,Reggio Emilia,Italy,Europe,2
36274,Comune di Bologna,Bologna,Italy,Europe,4
36277,Comune di Cosenza,Cosenza,Italy,Europe,1
36279,Comune di Cremona,Cremona,Italy,Europe,1
36282,Comune di Chieti,Chieti,Italy,Europe,2
36283,Comune di Como,Como,Italy,Europe,1
36285,City of Florence,Firenze,Italy,Europe,1
36285,Comune di Firenze,Firenze,Italy,Europe,4
36286,City of Ferrara,Ferrara,Italy,Europe,1
36286,Comune di Ferrara,Ferrara,Italy,Europe,4
36289,Comune di Caserta,Caserta,Italy,Europe,1
36410,City of Memphis,Memphis,United States of America,North America,3
36410,"City of Memphis, TN",Memphis,United States of America,United States of America,2
36426,City of Rīga,Riga,Latvia,Europe,1
36426,Riga City,Riga,Latvia,Europe,3
36426,Rīgas valstspilsētas pašvaldība,Riga,Latvia,Europe,1
36469,City of L'Aquila,L'Aquila,Italy,Europe,1
36469,Comune dell'Aquila,L'Aquila,Italy,Europe,4
36470,Comune della Spezia,La Spezia,Italy,Europe,4
36477,Comune di Lucca,Lucca,Italy,Europe,4
36484,Comune di Monza,Monza,Italy,Europe,1
36489,Comune di Olbia,Olbia,Italy,Europe,1
36491,Comune di Pesaro,Pesaro,Italy,Europe,1
36492,City of Parma,Parma,Italy,Europe,1
36492,Comune di Parma,Parma,Italy,Europe,4
36493,Comune di Pescara,Pescara,Italy,Europe,2
36494,City of Padua,Padova,Italy,Europe,1
36494,Comune di Padova,Padova,Italy,Europe,4
36495,Comune di Piacenza,Piacenza,Italy,Europe,1
36501,City of Prato,Prato,Italy,Europe,1
36501,Comune di Prato,Prato,Italy,Europe,3
36504,Comune di Rimini,Rimini,Italy,Europe,4
36512,Comune di Teramo,Tearmo,Italy,Europe,1
36515,City of Trento,Trento,Italy,Europe,1
36517,City of Treviso,Treviso,Italy,Europe,1
36522,Comune di Verbania,Verbania,Italy,Europe,2
37038,City of Cologne,Cologne,Germany,Europe,2
37241,City of Berkeley,Berkeley,United States of America,North America,2
37241,"City of Berkeley, CA",Berkeley,United States of America,United States of America,2
37261,City of Pietermaritzburg,Pietermaritzburg,South Africa,Africa,5
42120,City of Salvador,Salvador,Brazil,Latin America,5
42123,City of Goiânia,Goiânia,Brazil,Latin America,5
42178,Distrito Metropolitano de Quito,Quito,Ecuador,Latin America,5
42384,City of Gothenburg,Göteborg,Sweden,Europe,1
42384,Göteborgs Stad,Göteborg,Sweden,Europe,1
42384,Göteborgs stad,Göteborg,Sweden,Europe,1
42388,Intendencia de Montevideo,Montevideo,Uruguay,Latin America,5
43905,City of San Antonio,San Antonio,United States of America,North America,3
43905,"City of San Antonio, TX",San Antonio,United States of America,United States of America,2
43907,City of Indianapolis,Indianapolis,United States of America,North America,3
43907,"City of Indianapolis, IN",Indianapolis,United States of America,United States of America,2
43908,City of Milwaukee,Milwaukee,United States of America,North America,1
43908,"City of Milwaukee, WI",Milwaukee,United States of America,United States of America,2
43909,City of Orlando,Orlando,United States of America,North America,3
43909,"City of Orlando, FL",Orlando,United States of America,United States of America,2
43910,City of Columbus,Columbus,United States of America,North America,3
43910,"City of Columbus, OH",Columbus,United States of America,United States of America,2
43911,City of Ottawa,Ottawa,Canada,North America,3
43911,"City of Ottawa, ON",Ottawa,Canada,Canada,1
43911,"City of Ottawa, ON",Ottawa,Canada,nan,1
43912,City of Edmonton,Edmonton,Canada,North America,3
43912,"City of Edmonton, AB",Edmonton,Canada,Canada,1
43912,"City of Edmonton, AB",Edmonton,Canada,nan,1
43914,City of Charlotte,Charlotte,United States of America,North America,3
43914,"City of Charlotte, NC",Charlotte,United States of America,United States of America,2
43917,Capital Municipality of Sofia,Sofia,Bulgaria,Europe,1
43917,Obshtina Sofia,Sofia,Bulgaria,Europe,1
43917,Sofia Municipality,Sofia,Bulgaria,Europe,3
43920,City Municipality of Ljubljana,Ljubljana,Slovenia,Europe,1
43920,City of Ljubljana,Ljubljana,Slovenia,Europe,3
43920,Mestna občina Ljubljana,Ljubljana,Slovenia,Europe,1
43921,City of Zagreb,Zagreb,Croatia,Europe,2
43921,Grad Zagreb,Zagreb,Croatia,Europe,1
43923,City of Hannover,Hannover,Germany,Europe,1
43923,City of Hanover,Hannover,Germany,Europe,1
43926,City of Mannheim,Mannheim,Germany,Europe,3
43926,Stadt Mannheim,Mannheim,Germany,Europe,1
43928,Canberra,Canberra,Australia,Oceania,1
43928,Canberra,Canberra,Australia,Southeast Asia and Oceania,3
43930,Gemeente Den Haag,The Hague,Netherlands,Europe,1
43930,Municipality of The Hague,The Hague,Netherlands,Europe,1
43930,The Hague,The Hague,Netherlands,Europe,3
43932,Auckland Council,Auckland,New Zealand,Oceania,2
43932,Auckland Council,Auckland,New Zealand,Southeast Asia and Oceania,3
43934,City of Perth,Perth,Australia,Southeast Asia and Oceania,3
43937,Wellington City Council,Wellington,New Zealand,Oceania,2
43937,Wellington City Council,Wellington,New Zealand,Southeast Asia and Oceania,3
43938,"The Executive Council, Govt of Dubai",Dubai,United Arab Emirates,Middle East,5
43940,City of Malmö,Malmö,Sweden,Europe,1
43940,Malmö Stad,Malmö,Sweden,Europe,3
43940,Malmö stad,Malmö,Sweden,Europe,1
43969,Ciudad de Asunción,Asunción,Paraguay,Latin America,3
43970,Alcaldía Distrital de Barranquilla,Barranquilla,Colombia,Latin America,5
43975,Municipalidad de Magdalena del Mar,Magdalena del Mar,Peru,Latin America,5
44073,Municipalité de Rabat,Rabat,Morocco,Africa,1
44076,Bursa Metropolitan Municipality,Bursa,Turkey,Europe,1
44077,Kampala City,Kampala,Uganda,Africa,3
44080,City of Kitakyushu,nan,Japan,East Asia,3
44081,Lusaka City Council,Lusaka,Zambia,Africa,3
44180,Daegu Metropolitan City,Daegu-si,Republic of Korea,East Asia,2
44181,Gwangju Metropolitan City,Gwangju-si,Republic of Korea,East Asia,1
44184,Ulsan Metropolitan City,Ulsan-si,Republic of Korea,East Asia,2
44185,Suwon City,Suwon,Republic of Korea,East Asia,5
44187,Goyang City,Goyang-si,Republic of Korea,East Asia,2
44188,Yongin Metropolitan Government,Yongin-si,Republic of Korea,East Asia,1
44191,Ansan City,Ansan-si,Republic of Korea,East Asia,3
44194,Jeonju City,Jeonju-si,Republic of Korea,East Asia,1
44196,Hwaseong City,Hwaseong-si,Republic of Korea,East Asia,2
44196,Hwaseong Metropolitan Government,Hwaseong-si,Republic of Korea,East Asia,1
44205,Gwangmyeong City,Gwangmyeong-si,Republic of Korea,East Asia,2
44210,Yeosu City,Yeosu-si,Republic of Korea,East Asia,2
44210,Yeosu Metropolitan Government,Yeosu-si,Republic of Korea,East Asia,1
44299,Dangjin City,Dangjin-si,Republic of Korea,East Asia,3
45219,Município de Aparecida,Aparecida,Brazil,Latin America,4
46263,Amdavad Municipal Corporation (Ahmedabad),Ahmedabad,India,South Asia,1
46263,Amdavad Municipal Corporation (Ahmedabad),Ahmedabad,India,South and West Asia,1
46470,Ayuntamiento de Vitoria-Gasteiz,Vitoria-Gasteiz,Spain,Europe,4
46470,Municipality of Vitoria-Gasteiz,Vitoria-Gasteiz,Spain,Europe,1
46473,Ayuntamiento de Zaragoza,Zaragoza,Spain,Europe,1
46473,City of Zaragoza,Zaragoza,Spain,Europe,3
46473,Municipality of Saragossa (Spain),Zaragoza,Spain,Europe,1
46514,City of Porto,Porto,Portugal,Europe,4
46514,Município do Porto,Porto,Portugal,Europe,1
49172,City of St. Petersburg,St. Petersburg,United States of America,North America,2
49172,"City of St. Petersburg, FL",St. Petersburg,United States of America,United States of America,2
49326,"Ville de Quebec, QC",Quebec,Canada,Canada,1
49326,"Ville de Quebec, QC",Quebec,Canada,nan,1
49327,City of Providence,Providence,United States of America,North America,3
49327,"City of Providence, RI",Providence,United States of America,United States of America,2
49330,Kansas City,Kansas City,United States of America,North America,3
49330,"Kansas City, MO",Kansas City,United States of America,United States of America,2
49333,"City of Louisville, KY",Louisville,United States of America,North America,3
49333,"City of Louisville, KY",Louisville,United States of America,United States of America,2
49334,"City of Richmond, VA","Richmond, VA",United States of America,North America,3
49334,"City of Richmond, VA","Richmond, VA",United States of America,United States of America,1
49335,Metropolitan Government of Nashville and Davidson County,Nashville,United States of America,North America,3
49335,"Metropolitan Government of Nashville and Davidson County, TN",Nashville,United States of America,United States of America,2
49339,City and County of Honolulu,Honolulu,United States of America,North America,3
49339,"City and County of Honolulu, HI",Honolulu,United States of America,United States of America,2
49342,City of Rochester,Rochester,United States of America,North America,3
49342,"City of Rochester, NY",Rochester,United States of America,United States of America,2
49343,City of El Paso,El Paso,United States of America,North America,3
49343,"City of El Paso, TX",El Paso,United States of America,United States of America,2
49344,City of Raleigh,Raleigh,United States of America,North America,3
49344,"City of Raleigh, NC",Raleigh,United States of America,United States of America,2
49345,City of Birmingham,"Birmingham, AL",United States of America,North America,1
49345,"City of Birmingham, AL","Birmingham, AL",United States of America,United States of America,2
49346,"City of Allentown, PA",Allentown,United States of America,United States of America,2
49347,City of Omaha,Omaha,United States of America,North America,2
49347,"City of Omaha, NE",Omaha,United States of America,United States of America,2
49359,City of Harare,Harare,Zimbabwe,Africa,4
49360,City of Tshwane,Pretoria - Tshwane,South Africa,Africa,3
49360,City of Tshwane,Tshwane,South Africa,Africa,2
49362,Ulaanbaatar City,Ulaanbaatar City,Mongolia,East Asia,1
49367,Freetown City,Freetown,Sierra Leone,Africa,5
49386,City of Hiroshima,Hiroshima,Japan,East Asia,1
49389,Kyoto,Kyoto,Japan,East Asia,1
49389,Kyoto City,Kyoto,Japan,East Asia,2
49787,City of Benicia,Benicia,United States of America,North America,2
50154,City of Turku,Turku,Finland,Europe,4
50154,Turun kaupunki,Turku,Finland,Europe,1
50203,Gaziantep Metropolitan Municipality,Gaziantep,Turkey,Europe,4
50208,Adana Metropolitan Municipality,Adana,Turkey,Europe,3
50211,Tbilisi City,Tbilisi,Georgia,Europe,4
50220,Métropole Nice Côte d'Azur,Nice,France,Europe,3
50220,Métropole de Nice,Nice,France,Europe,1
50235,City of Kraków,Krakow,Poland,Europe,1
50354,Alcaldía de Tegucigalpa,Tegucigalpa,Honduras,Latin America,4
50356,Ayuntamiento de Morelia,Morelia,Mexico,Latin America,3
50357,Ciudad de Mendoza,Mendoza,Argentina,Latin America,4
50358,Gobierno Municipal de Toluca de Lerdo,nan,Mexico,Latin America,4
50359,Gobierno Municipal de León de los Aldamas,León de los Aldamas,Mexico,Latin America,4
50361,Ayuntamiento de Hermosillo,Hermosillo,Mexico,Latin America,4
50362,Municipalidad de Concepción,Concepción,Chile,Latin America,5
50364,Gobierno Autónomo Municipal de la Paz,La Paz (Bolivia),Bolivia (Plurinational State of),Latin America,1
50364,Municipalidad de La Paz,La Paz (Bolivia),Bolivia (Plurinational State of),Latin America,4
50365,Municipalidad  de Valparaíso,nan,Chile,Latin America,3
50366,Ayuntamiento de Cuernavaca,Cuernavaca,Mexico,Latin America,1
50367,Ayuntamiento de Culiacán,nan,Mexico,Latin America,2
50368,Municipalidad de Provincial de Arequipa,Arequipa,Peru,Latin America,5
50369,Ayuntamiento de San Luis Potosí,San Luis Potosí,Mexico,Latin America,2
50370,Municipalidad de Tampico,Tampico,Mexico,Latin America,5
50371,Municipalidad de Córdoba,Córdoba,Argentina,Latin America,2
50373,Municipalidad  de Rosario,nan,Argentina,Latin America,2
50373,Municipalidad de Rosario,nan,Argentina,Latin America,1
50374,Alcaldia Distrital de Cartagena de Indias,Cartagena,Colombia,Latin America,3
50375,Ayuntamiento de Chihuahua,Chihuahua,Mexico,Latin America,5
50377,Municipio de Querétaro,nan,Mexico,Latin America,2
50378,Municipalidad de San José,San José,Costa Rica,Latin America,5
