q_id,q_text,q_type,Response Answer,q_text_cln
16.2-0,what is the aggregated net energy consumption of your wastewater treatment systems in kwh/year? (leave blank if you do not know)-none,Question-Column,32,what is the aggreg net energi consumpt of your wastewat treatment system in kwhyear leav blank if you do not knownon
16.3-0,are you recovering methane from your wastewater treatment system?-none,Question-Column,53,are you recov methan from your wastewat treatment systemnon
16.3a-0,are you processing the captured methane for energy recovery? select the appropriate use:-none,Question-Column,32,are you process the captur methan for energi recoveri select the appropri usenon
2.0-0,has a climate change risk or vulnerability assessment been undertaken for your local government area?-none,Question-Column,469,climat chang risk or vulner assess been undertaken for your local govern areanon
2.0a-1-1,"please select the primary process or methodology used to undertake the risk or vulnerability assessment of your city. if your city uses a combination of methodologies, please select the main methodology used.-primary methodology-risk assessment methodology",Question-Column-Row,291,pleas select the primari process or methodolog use to undertak the risk or vulner assess of your citi if your citi use combin of methodolog pleas select the main methodolog usedprimari methodologyrisk assess methodolog
2.0a-2-1,"please select the primary process or methodology used to undertake the risk or vulnerability assessment of your city. if your city uses a combination of methodologies, please select the main methodology used.-description-risk assessment methodology",Question-Column-Row,265,pleas select the primari process or methodolog use to undertak the risk or vulner assess of your citi if your citi use combin of methodolog pleas select the main methodolog useddescriptionrisk assess methodolog
2.0b-1,"please attach and provide details on your climate change risk or vulnerability assessment. please provide details on the boundary of your assessment, and where this differs from your city’s boundary, please provide an explanation.-publication title and attach file here",Question-Column,326,pleas attach and provid detail on your climat chang risk or vulner assess pleas provid detail on the boundari of your assess and where this differ from your citi ’ s boundari pleas provid an explanationpubl titl and attach file here
2.0b-2,"please attach and provide details on your climate change risk or vulnerability assessment. please provide details on the boundary of your assessment, and where this differs from your city’s boundary, please provide an explanation.-year of publication",Question-Column,322,pleas attach and provid detail on your climat chang risk or vulner assess pleas provid detail on the boundari of your assess and where this differ from your citi ’ s boundari pleas provid an explanationyear of public
2.0b-3,"please attach and provide details on your climate change risk or vulnerability assessment. please provide details on the boundary of your assessment, and where this differs from your city’s boundary, please provide an explanation.-web link",Question-Column,263,pleas attach and provid detail on your climat chang risk or vulner assess pleas provid detail on the boundari of your assess and where this differ from your citi ’ s boundari pleas provid an explanationweb link
2.0b-4,"please attach and provide details on your climate change risk or vulnerability assessment. please provide details on the boundary of your assessment, and where this differs from your city’s boundary, please provide an explanation.-boundary of assessment relative to city boundary (reported in 0.1)",Question-Column,312,pleas attach and provid detail on your climat chang risk or vulner assess pleas provid detail on the boundari of your assess and where this differ from your citi ’ s boundari pleas provid an explanationboundari of assess relat to citi boundari report in 01
2.0b-5,"please attach and provide details on your climate change risk or vulnerability assessment. please provide details on the boundary of your assessment, and where this differs from your city’s boundary, please provide an explanation.-explanation of boundary choice",Question-Column,260,pleas attach and provid detail on your climat chang risk or vulner assess pleas provid detail on the boundari of your assess and where this differ from your citi ’ s boundari pleas provid an explanationexplan of boundari choic
2.0b-6,"please attach and provide details on your climate change risk or vulnerability assessment. please provide details on the boundary of your assessment, and where this differs from your city’s boundary, please provide an explanation.-primary author of assessment",Question-Column,318,pleas attach and provid detail on your climat chang risk or vulner assess pleas provid detail on the boundari of your assess and where this differ from your citi ’ s boundari pleas provid an explanationprimari author of assess
2.0b-7,"please attach and provide details on your climate change risk or vulnerability assessment. please provide details on the boundary of your assessment, and where this differs from your city’s boundary, please provide an explanation.-does the assessment identify vulnerable populations?",Question-Column,280,pleas attach and provid detail on your climat chang risk or vulner assess pleas provid detail on the boundari of your assess and where this differ from your citi ’ s boundari pleas provid an explanationdo the assess identifi vulner popul
2.0c-1-1,"please describe how your city’s risk or vulnerability assessment addresses the following key requirements as defined by the global covenant, and provide details on the location of this evidence within your assessment.-proof statement from within your risk or vulnerability assessment (in english)-assessment of impact of current hazards",Question-Column-Row,143,pleas describ how your citi ’ s risk or vulner assess address the follow key requir as defin by the global coven and provid detail on the locat of this evid within your assessmentproof statement from within your risk or vulner assess in englishassess of impact of current hazard
2.0c-1-2,"please describe how your city’s risk or vulnerability assessment addresses the following key requirements as defined by the global covenant, and provide details on the location of this evidence within your assessment.-proof statement from within your risk or vulnerability assessment (in english)-assessment of impact of future hazards",Question-Column-Row,139,pleas describ how your citi ’ s risk or vulner assess address the follow key requir as defin by the global coven and provid detail on the locat of this evid within your assessmentproof statement from within your risk or vulner assess in englishassess of impact of futur hazard
2.0c-2-1,"please describe how your city’s risk or vulnerability assessment addresses the following key requirements as defined by the global covenant, and provide details on the location of this evidence within your assessment.-page number(s)-assessment of impact of current hazards",Question-Column-Row,133,pleas describ how your citi ’ s risk or vulner assess address the follow key requir as defin by the global coven and provid detail on the locat of this evid within your assessmentpag numbersassess of impact of current hazard
2.0c-2-2,"please describe how your city’s risk or vulnerability assessment addresses the following key requirements as defined by the global covenant, and provide details on the location of this evidence within your assessment.-page number(s)-assessment of impact of future hazards",Question-Column-Row,130,pleas describ how your citi ’ s risk or vulner assess address the follow key requir as defin by the global coven and provid detail on the locat of this evid within your assessmentpag numbersassess of impact of futur hazard
2.0c-3-1,"please describe how your city’s risk or vulnerability assessment addresses the following key requirements as defined by the global covenant, and provide details on the location of this evidence within your assessment.-publication title of your risk or vulnerability assessment-assessment of impact of current hazards",Question-Column-Row,138,pleas describ how your citi ’ s risk or vulner assess address the follow key requir as defin by the global coven and provid detail on the locat of this evid within your assessmentpubl titl of your risk or vulner assessmentassess of impact of current hazard
2.0c-3-2,"please describe how your city’s risk or vulnerability assessment addresses the following key requirements as defined by the global covenant, and provide details on the location of this evidence within your assessment.-publication title of your risk or vulnerability assessment-assessment of impact of future hazards",Question-Column-Row,136,pleas describ how your citi ’ s risk or vulner assess address the follow key requir as defin by the global coven and provid detail on the locat of this evid within your assessmentpubl titl of your risk or vulner assessmentassess of impact of futur hazard
2.1-0,does your city have an update / revision process for the climate risk or vulnerability assessment?-none,Question-Column,212,doe your citi have an updat revis process for the climat risk or vulner assessmentnon
2.1a-1-1,please provide more details on the update / revision process for your city’s climate risk or vulnerability assessment.-time period for update (years)-update process,Question-Column-Row,93,pleas provid more detail on the updat revis process for your citi ’ s climat risk or vulner assessmenttim period for updat yearsupd process
2.1a-2-1,please provide more details on the update / revision process for your city’s climate risk or vulnerability assessment.-status of current update-update process,Question-Column-Row,102,pleas provid more detail on the updat revis process for your citi ’ s climat risk or vulner assessmentstatus of current updateupd process
2.1a-3-1,please provide more details on the update / revision process for your city’s climate risk or vulnerability assessment.-number of times previously updated-update process,Question-Column-Row,87,pleas provid more detail on the updat revis process for your citi ’ s climat risk or vulner assessmentnumb of time previous updatedupd process
2.1a-4-1,please provide more details on the update / revision process for your city’s climate risk or vulnerability assessment.-comment-update process,Question-Column-Row,78,pleas provid more detail on the updat revis process for your citi ’ s climat risk or vulner assessmentcommentupd process
2.2-0,do the current and/or anticipated effects of climate change present a significant risk to your city?-none,Question-Column,466,do the current andor anticip effect of climat chang present signific risk to your citynon
2.2a-1,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity.  please also select the top 3 assets or services that are affected by the climate hazard, and provide a description of the impact.-climate hazards",Question-Column,1920,pleas list the most signific climat hazard face by your citi and indic the probabl and consequ of these hazard as well as the expect futur chang in frequenc and intens pleas also select the top 3 asset or servic that are affect by the climat hazard and provid descript of the impactclim hazard
2.2a-10,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity.  please also select the top 3 assets or services that are affected by the climate hazard, and provide a description of the impact.-impact description",Question-Column,1598,pleas list the most signific climat hazard face by your citi and indic the probabl and consequ of these hazard as well as the expect futur chang in frequenc and intens pleas also select the top 3 asset or servic that are affect by the climat hazard and provid descript of the impactimpact descript
2.2a-2,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity.  please also select the top 3 assets or services that are affected by the climate hazard, and provide a description of the impact.-hazard status",Question-Column,1543,pleas list the most signific climat hazard face by your citi and indic the probabl and consequ of these hazard as well as the expect futur chang in frequenc and intens pleas also select the top 3 asset or servic that are affect by the climat hazard and provid descript of the impacthazard status
2.2a-3,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity.  please also select the top 3 assets or services that are affected by the climate hazard, and provide a description of the impact.-magnitude of impact",Question-Column,1839,pleas list the most signific climat hazard face by your citi and indic the probabl and consequ of these hazard as well as the expect futur chang in frequenc and intens pleas also select the top 3 asset or servic that are affect by the climat hazard and provid descript of the impactmagnitud of impact
2.2a-4,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity.  please also select the top 3 assets or services that are affected by the climate hazard, and provide a description of the impact.-anticipated timescale",Question-Column,1540,pleas list the most signific climat hazard face by your citi and indic the probabl and consequ of these hazard as well as the expect futur chang in frequenc and intens pleas also select the top 3 asset or servic that are affect by the climat hazard and provid descript of the impactanticip timescal
2.2a-5,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity.  please also select the top 3 assets or services that are affected by the climate hazard, and provide a description of the impact.-probability of hazard",Question-Column,1861,pleas list the most signific climat hazard face by your citi and indic the probabl and consequ of these hazard as well as the expect futur chang in frequenc and intens pleas also select the top 3 asset or servic that are affect by the climat hazard and provid descript of the impactprob of hazard
2.2a-6,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity.  please also select the top 3 assets or services that are affected by the climate hazard, and provide a description of the impact.-consequence of hazard",Question-Column,1870,pleas list the most signific climat hazard face by your citi and indic the probabl and consequ of these hazard as well as the expect futur chang in frequenc and intens pleas also select the top 3 asset or servic that are affect by the climat hazard and provid descript of the impactconsequ of hazard
2.2a-7,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity.  please also select the top 3 assets or services that are affected by the climate hazard, and provide a description of the impact.-future change in frequency",Question-Column,1865,pleas list the most signific climat hazard face by your citi and indic the probabl and consequ of these hazard as well as the expect futur chang in frequenc and intens pleas also select the top 3 asset or servic that are affect by the climat hazard and provid descript of the impactfutur chang in frequenc
2.2a-8,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity.  please also select the top 3 assets or services that are affected by the climate hazard, and provide a description of the impact.-future change in intensity",Question-Column,1829,pleas list the most signific climat hazard face by your citi and indic the probabl and consequ of these hazard as well as the expect futur chang in frequenc and intens pleas also select the top 3 asset or servic that are affect by the climat hazard and provid descript of the impactfutur chang in intens
2.2a-9,"please list the most significant climate hazards faced by your city and indicate the probability and consequence of these hazards, as well as the expected future change in frequency and intensity.  please also select the top 3 assets or services that are affected by the climate hazard, and provide a description of the impact.-top three assets/ services affected",Question-Column,4401,pleas list the most signific climat hazard face by your citi and indic the probabl and consequ of these hazard as well as the expect futur chang in frequenc and intens pleas also select the top 3 asset or servic that are affect by the climat hazard and provid descript of the impacttop three asset servic affect
2.2b-1-1,please explain why the anticipated effects of climate change present no risk to your city at present or in the future.-reason-please explain,Question-Column-Row,9,pleas explain whi the anticip effect of climat chang present risk to your citi at present or in the futurereasonpleas explain
2.2b-2-1,please explain why the anticipated effects of climate change present no risk to your city at present or in the future.-explanation-please explain,Question-Column-Row,10,pleas explain whi the anticip effect of climat chang present risk to your citi at present or in the futureexplanationpleas explain
2.3-1-1,do you consider that the effects of climate change could negatively impact the ability of businesses to operate successfully in your city?-response-please explain,Question-Column-Row,428,do you consid that the effect of climat chang could negat impact the abil of busi to oper success in your cityresponsepleas explain
2.3-2-1,do you consider that the effects of climate change could negatively impact the ability of businesses to operate successfully in your city?-explanation-please explain,Question-Column-Row,356,do you consid that the effect of climat chang could negat impact the abil of busi to oper success in your cityexplanationpleas explain
2.4-1,"please identify the factors that most greatly affect your city’s ability to adapt to climate change, and indicate how those factors either enhance or challenge this ability.-factors that affect ability to adapt",Question-Column,1100,pleas identifi the factor that most great affect your citi ’ s abil to adapt to climat chang and indic how those factor either enhanc or challeng this abilityfactor that affect abil to adapt
2.4-2,"please identify the factors that most greatly affect your city’s ability to adapt to climate change, and indicate how those factors either enhance or challenge this ability.-enhance/ challenge",Question-Column,1087,pleas identifi the factor that most great affect your citi ’ s abil to adapt to climat chang and indic how those factor either enhanc or challeng this abilityenh challeng
2.4-3,"please identify the factors that most greatly affect your city’s ability to adapt to climate change, and indicate how those factors either enhance or challenge this ability.-description",Question-Column,924,pleas identifi the factor that most great affect your citi ’ s abil to adapt to climat chang and indic how those factor either enhanc or challeng this abilitydescript
3.0-0,"has the mayor or local government committed to adapting to climate change across the geographical area of the city, town or settlement?-none",Question-Column,441,the mayor or local govern commit to adapt to climat chang across the geograph area of the citi town or settlementnon
3.0a-1,please select the type of commitment and attach evidence.-type of commitment and attach commitment document,Question-Column,516,pleas select the type of commit and attach evidencetyp of commit and attach commit document
3.0a-2,please select the type of commitment and attach evidence.-comments,Question-Column,371,pleas select the type of commit and attach evidencecom
3.1-0,has your city council published a plan that addresses climate change adaptation?-none,Question-Column,459,your citi council publish plan that address climat chang adaptationnon
3.1a-1,"please provide more information on your plan that addresses climate change adaptation and attach the document. please provide details on the boundary of your plan, and where this differs from your city’s boundary, please provide an explanation.-publication title and attach adaptation plan",Question-Column,257,pleas provid more inform on your plan that address climat chang adapt and attach the document pleas provid detail on the boundari of your plan and where this differ from your citi ’ s boundari pleas provid an explanationpubl titl and attach adapt plan
3.1a-2,"please provide more information on your plan that addresses climate change adaptation and attach the document. please provide details on the boundary of your plan, and where this differs from your city’s boundary, please provide an explanation.-year of publication",Question-Column,251,pleas provid more inform on your plan that address climat chang adapt and attach the document pleas provid detail on the boundari of your plan and where this differ from your citi ’ s boundari pleas provid an explanationyear of public
3.1a-3,"please provide more information on your plan that addresses climate change adaptation and attach the document. please provide details on the boundary of your plan, and where this differs from your city’s boundary, please provide an explanation.-web link",Question-Column,203,pleas provid more inform on your plan that address climat chang adapt and attach the document pleas provid detail on the boundari of your plan and where this differ from your citi ’ s boundari pleas provid an explanationweb link
3.1a-4,"please provide more information on your plan that addresses climate change adaptation and attach the document. please provide details on the boundary of your plan, and where this differs from your city’s boundary, please provide an explanation.-boundary of plan relative to city boundary (reported in 0.1)",Question-Column,232,pleas provid more inform on your plan that address climat chang adapt and attach the document pleas provid detail on the boundari of your plan and where this differ from your citi ’ s boundari pleas provid an explanationboundari of plan relat to citi boundari report in 01
3.1a-5,"please provide more information on your plan that addresses climate change adaptation and attach the document. please provide details on the boundary of your plan, and where this differs from your city’s boundary, please provide an explanation.-explanation of boundary choice",Question-Column,185,pleas provid more inform on your plan that address climat chang adapt and attach the document pleas provid detail on the boundari of your plan and where this differ from your citi ’ s boundari pleas provid an explanationexplan of boundari choic
3.1a-6,"please provide more information on your plan that addresses climate change adaptation and attach the document. please provide details on the boundary of your plan, and where this differs from your city’s boundary, please provide an explanation.-primary author of plan",Question-Column,247,pleas provid more inform on your plan that address climat chang adapt and attach the document pleas provid detail on the boundari of your plan and where this differ from your citi ’ s boundari pleas provid an explanationprimari author of plan
3.1a-7,"please provide more information on your plan that addresses climate change adaptation and attach the document. please provide details on the boundary of your plan, and where this differs from your city’s boundary, please provide an explanation.-stage of implementation",Question-Column,219,pleas provid more inform on your plan that address climat chang adapt and attach the document pleas provid detail on the boundari of your plan and where this differ from your citi ’ s boundari pleas provid an explanationstag of implement
3.1b-1-1,please explain why not and any future arrangements you have to create a plan.-reason-please explain,Question-Column-Row,76,pleas explain whi not and ani futur arrang you have to creat planreasonpleas explain
3.1b-2-1,please explain why not and any future arrangements you have to create a plan.-comment-please explain,Question-Column-Row,90,pleas explain whi not and ani futur arrang you have to creat plancommentpleas explain
3.2-0,does your city have an update / revision process for the climate adaptation plan(s)?-none,Question-Column,150,doe your citi have an updat revis process for the climat adapt plansnon
3.2a-1-1,please provide more details on the update / revision process for your city’s climate adaptation plan(s)?-time period for update (years)-update process,Question-Column-Row,90,pleas provid more detail on the updat revis process for your citi ’ s climat adapt planstim period for updat yearsupd process
3.2a-2-1,please provide more details on the update / revision process for your city’s climate adaptation plan(s)?-status of current update-update process,Question-Column-Row,99,pleas provid more detail on the updat revis process for your citi ’ s climat adapt plansstatus of current updateupd process
3.2a-3-1,please provide more details on the update / revision process for your city’s climate adaptation plan(s)?-number of times previously updated-update process,Question-Column-Row,93,pleas provid more detail on the updat revis process for your citi ’ s climat adapt plansnumb of time previous updatedupd process
3.2a-4-1,please provide more details on the update / revision process for your city’s climate adaptation plan(s)?-comment-update process,Question-Column-Row,78,pleas provid more detail on the updat revis process for your citi ’ s climat adapt planscommentupd process
3.3-1,"please describe the actions you are taking to reduce the risk to, or vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the climate hazards section.-climate hazards",Question-Column,1305,pleas describ the action you are take to reduc the risk to or vulner of your citi ’ s infrastructur servic citizen and busi from climat chang as identifi in the climat hazard sectionclim hazard
3.3-2,"please describe the actions you are taking to reduce the risk to, or vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the climate hazards section.-action",Question-Column,1375,pleas describ the action you are take to reduc the risk to or vulner of your citi ’ s infrastructur servic citizen and busi from climat chang as identifi in the climat hazard sectionact
6.6-1,"how much electricity, heat, steam, and cooling (refers to scope 2 emissions) has your local government purchased for its own consumption during the reporting year?-source",Question-Column,490,how much electr heat steam and cool refer to scope 2 emiss your local govern purchas for it own consumpt dure the report yearsourc
6.6-2,"how much electricity, heat, steam, and cooling (refers to scope 2 emissions) has your local government purchased for its own consumption during the reporting year?-type",Question-Column,500,how much electr heat steam and cool refer to scope 2 emiss your local govern purchas for it own consumpt dure the report yeartyp
6.6-3,"how much electricity, heat, steam, and cooling (refers to scope 2 emissions) has your local government purchased for its own consumption during the reporting year?-amount",Question-Column,495,how much electr heat steam and cool refer to scope 2 emiss your local govern purchas for it own consumpt dure the report yearamount
6.6-4,"how much electricity, heat, steam, and cooling (refers to scope 2 emissions) has your local government purchased for its own consumption during the reporting year?-units",Question-Column,495,how much electr heat steam and cool refer to scope 2 emiss your local govern purchas for it own consumpt dure the report yearunit
6.7-1-1,"please provide total (scope 1 + scope 2) ghg emissions for your local government operations, in metric tonnes co2e. scopes are a common categorization method.-total scope 1 + scope 2 emissions (metric tonnes co2e)-local government emissions breakdown",Question-Column-Row,192,pleas provid total scope 1 scope 2 ghg emiss for your local govern oper in metric tonn co2e scope are common categor methodtot scope 1 scope 2 emiss metric tonn co2eloc govern emiss breakdown
6.7-2-1,"please provide total (scope 1 + scope 2) ghg emissions for your local government operations, in metric tonnes co2e. scopes are a common categorization method.-total scope 1 emissions (metric tonnes co2e)-local government emissions breakdown",Question-Column-Row,179,pleas provid total scope 1 scope 2 ghg emiss for your local govern oper in metric tonn co2e scope are common categor methodtot scope 1 emiss metric tonn co2eloc govern emiss breakdown
6.7-3-1,"please provide total (scope 1 + scope 2) ghg emissions for your local government operations, in metric tonnes co2e. scopes are a common categorization method.-total scope 2 emissions (metric tonnes co2e)-local government emissions breakdown",Question-Column-Row,180,pleas provid total scope 1 scope 2 ghg emiss for your local govern oper in metric tonn co2e scope are common categor methodtot scope 2 emiss metric tonn co2eloc govern emiss breakdown
6.7-4-1,"please provide total (scope 1 + scope 2) ghg emissions for your local government operations, in metric tonnes co2e. scopes are a common categorization method.-comment-local government emissions breakdown",Question-Column-Row,63,pleas provid total scope 1 scope 2 ghg emiss for your local govern oper in metric tonn co2e scope are common categor methodcommentloc govern emiss breakdown
6.8-0,do you measure local government scope 3 emissions?-none,Question-Column,205,do you measur local govern scope 3 emissionsnon
6.8a-1,please complete the table.-source of scope 3 emissions,Question-Column,194,pleas complet the tablesourc of scope 3 emiss
6.8a-2,please complete the table.-emissions (metric tonnes co2e),Question-Column,193,pleas complet the tableemiss metric tonn co2e
6.8a-3,please complete the table.-comment,Question-Column,118,pleas complet the tablecom
6.8b-1-1,"please explain why not and detail your plans to do so in the future, if any.-reasoning-please explain",Question-Column-Row,77,pleas explain whi not and detail your plan to do so in the futur if anyreasoningpleas explain
6.8b-2-1,"please explain why not and detail your plans to do so in the future, if any.-explanation-please explain",Question-Column-Row,44,pleas explain whi not and detail your plan to do so in the futur if anyexplanationpleas explain
6.9-1-1,"please indicate if your local government operations emissions have increased, decreased, or stayed the same since your last emissions inventory, and please describe why.-change in emissions-please explain",Question-Column-Row,199,pleas indic if your local govern oper emiss have increas decreas or stay the same sinc your last emiss inventori and pleas describ whychang in emissionspleas explain
6.9-2-1,"please indicate if your local government operations emissions have increased, decreased, or stayed the same since your last emissions inventory, and please describe why.-reason for change-please explain",Question-Column-Row,152,pleas indic if your local govern oper emiss have increas decreas or stay the same sinc your last emiss inventori and pleas describ whyreason for changepleas explain
6.9-3-1,"please indicate if your local government operations emissions have increased, decreased, or stayed the same since your last emissions inventory, and please describe why.-please explain-please explain",Question-Column-Row,149,pleas indic if your local govern oper emiss have increas decreas or stay the same sinc your last emiss inventori and pleas describ whypleas explainpleas explain
7.0-0,does your city have a city-wide emissions inventory to report?-none,Question-Column,437,doe your citi have citywid emiss inventori to reportnon
7.1-1-1,please state the dates of the accounting year or 12-month period for which you are reporting a city-wide  ghg emissions inventory.-from-accounting year dates,Question-Column-Row,264,pleas state the date of the account year or 12month period for which you are report citywid ghg emiss inventoryfromaccount year date
7.1-2-1,please state the dates of the accounting year or 12-month period for which you are reporting a city-wide  ghg emissions inventory.-to-accounting year dates,Question-Column-Row,265,pleas state the date of the account year or 12month period for which you are report citywid ghg emiss inventorytoaccount year date
7.10-0,do you have any credits or offsets resulting in a change to your city’s net emissions that you would like to report?-none,Question-Column,228,do you have ani credit or offset result in chang to your citi ’ s net emiss that you would like to reportnon
7.10a-1,please provide details on the credits or offsets.-type of offset or credit,Question-Column,18,pleas provid detail on the credit or offsetstyp of offset or credit
7.10a-2,please provide details on the credits or offsets.-emissions saved (metric tonnes co2e),Question-Column,16,pleas provid detail on the credit or offsetsemiss save metric tonn co2e
7.10a-3,please provide details on the credits or offsets.-sector,Question-Column,17,pleas provid detail on the credit or offsetssector
7.10a-4,please provide details on the credits or offsets.-comment,Question-Column,15,pleas provid detail on the credit or offsetscom
7.11-1-1,"please indicate if your city-wide emissions have increased, decreased, or stayed the same since your last emissions inventory, and please describe why.-change in emissions-please explain",Question-Column-Row,210,pleas indic if your citywid emiss have increas decreas or stay the same sinc your last emiss inventori and pleas describ whychang in emissionspleas explain
7.11-2-1,"please indicate if your city-wide emissions have increased, decreased, or stayed the same since your last emissions inventory, and please describe why.-reason for change-please explain",Question-Column-Row,181,pleas indic if your citywid emiss have increas decreas or stay the same sinc your last emiss inventori and pleas describ whyreason for changepleas explain
7.11-3-1,"please indicate if your city-wide emissions have increased, decreased, or stayed the same since your last emissions inventory, and please describe why.-please explain-please explain",Question-Column-Row,168,pleas indic if your citywid emiss have increas decreas or stay the same sinc your last emiss inventori and pleas describ whypleas explainpleas explain
7.12-0,has the city-wide ghg emissions data you are currently reporting been externally verified or audited in part or in whole?-none,Question-Column,259,the citywid ghg emiss data you are current report been extern verifi or audit in part or in wholenon
7.12a-1-1,please provide the following information about the city-wide emissions verification.-name of verifier-verification details,Question-Column-Row,40,pleas provid the follow inform about the citywid emiss verificationnam of verifierverif detail
7.12a-2-1,please provide the following information about the city-wide emissions verification.-verification certificate title and attachment-verification details,Question-Column-Row,20,pleas provid the follow inform about the citywid emiss verificationverif certif titl and attachmentverif detail
7.12a-3-1,please provide the following information about the city-wide emissions verification.-year of verification-verification details,Question-Column-Row,38,pleas provid the follow inform about the citywid emiss verificationyear of verificationverif detail
7.12a-4-1,please provide the following information about the city-wide emissions verification.-comments-verification details,Question-Column-Row,31,pleas provid the follow inform about the citywid emiss verificationcommentsverif detail
7.12b-1-1,please explain why your city-wide emissions inventory is not verified and describe any plans to verify your city-wide emissions in the future.-reason-please explain,Question-Column-Row,154,pleas explain whi your citywid emiss inventori is not verifi and describ ani plan to verifi your citywid emiss in the futurereasonpleas explain
7.12b-2-1,please explain why your city-wide emissions inventory is not verified and describe any plans to verify your city-wide emissions in the future.-comments-please explain,Question-Column-Row,119,pleas explain whi your citywid emiss inventori is not verifi and describ ani plan to verifi your citywid emiss in the futurecommentspleas explain
7.13-0,"since your last submission, have you needed to recalculate any past city-wide ghg emission inventories previously reported to cdp?-none",Question-Column,243,sinc your last submiss have you need to recalcul ani past citywid ghg emiss inventori previous report to cdpnone
